gene_name,gene_synonym
CEP41,DKFZp762H1311|JBTS15|FLJ22445|TSGA14
SRGAP3-AS1,nan
UFL1,NLBP|Maxer|KIAA0776|RCAD
NUCB1,Calnuc|NUC
MIR4322,hsa-mir-4322
AC096772.2,nan
AC090286.4,nan
ARRDC2,CLONE24945|PP2703
AC016912.1,nan
AC122136.1,nan
MIR4762,hsa-mir-4762
UHRF2,MGC33463|RNF107|NIRF|TDRD23|URF2
AL022328.2,nan
RASSF9,PAMCI|P-CIP1
IGHV3-16,nan
VPS13D,FLJ10619|KIAA0453
AC096631.2,nan
LINC01563,nan
AIF1L,FLJ12783|IBA2|C9orf58
NUS1P2,nan
FASTKD3,FLJ23274|MGC5297
IGHG2,nan
RNA5SP71,RN5S71
KANK1,ANKRD15|KANK|KIAA0172
AC243773.2,nan
NOVA2,NOVA3|ANOVA
MIR6892,hsa-mir-6892
VTRNA1-2,hvg-2|HVG2|VAULTRC2|vtRNA1-2|VR2
AL731553.1,nan
AL133173.4,nan
AC127496.1,nan
UQCC3,C11orf83|UNQ655
ZC3H12D,dJ281H8.1|MCPIP4|C6orf95
AC133555.1,nan
RNA5SP341,RN5S341
NAMPTP2,nan
RN7SL827P,nan
RAB35,H-ray
AC005006.1,nan
MTND6P18,nan
RNU6-411P,nan
AC005702.5,nan
AC108451.2,nan
TRAC,nan
COX8A,COX8L|VIII-L|VIII|COX8-2|COX|COX8
AP000351.9,nan
IL17RC,IL17-RL
AL449105.1,nan
OR9G2P,OR9G6
MIR4794,hsa-mir-4794
FAM131C,FLJ36766|C1orf117
KHDC4,SNORA80EHG|BLOM7|KIAA0907
LOXL3,nan
RN7SL376P,nan
TDRD1,CT41.1
AC109811.1,nan
AC136352.13,nan
UBE2D3P4,nan
CCL23,MIP-3|SCYA23|CKb8|MPIF-1|Ckb-8
ZNF12,KOX3|GIOT-3|ZNF325
AL360294.1,nan
TMEM219,IGFBP-3R
MIR4804,hsa-mir-4804
MLLT6,FLJ23480|AF17
MPV17,SYM1
HP,nan
CARMIL1,LRRC16A|CARMIL|LRRC16|FLJ20048|dJ501N12.1
DDX39B-AS1,nan
PKD2,TRPP2|PKD4|PC2|Pc-2
LANCL3,FLJ42925
AC138473.1,nan
DAGLA,C11orf11|KIAA0659|DAGLALPHA|NSDDR
SUB1,p15|PC4|p14
AL121977.3,nan
MIR548AH,hsa-mir-548ah
AC073869.8,nan
ZNF705E,nan
AC018521.7,nan
RPS9,S9
BX908738.3,nan
GU182345.2,nan
OSBPL9P3,nan
EME2,SLX2B|FLJ00151
CAPZA2,CAPZ|CAPPA2
SLC8A1,NCX1
AL121957.1,nan
BCDIN3D,nan
DDX3P1,DDX3YP1
MIR382,MIRN382|hsa-mir-382
AL121897.1,nan
AC025755.1,nan
AC005040.2,nan
IGKV2-36,nan
TPT1P1,TPT1P
ADAMTS16,ADAMTS16s
MTFMT,FMT1
BOLA2P3,nan
AC104823.1,nan
AC256230.2,nan
NT5C1A,CN-I|CN-IA|MGC119201|CN1|CN1A|MGC119199
AC021739.3,nan
AP001610.2,nan
AC055855.1,nan
ELOVL1,Ssc1
AL356585.5,nan
USP14,TGT
GDF9,nan
AC092630.1,nan
AC025211.1,nan
AC093765.3,nan
AC006499.7,nan
TGM6,SCA35|TGM3L|TGY|dJ734P14.3
AC000067.1,nan
GPR25,nan
AC016394.3,nan
EML1,HuEMAP|ELP79|EMAPL|EMAP
PLBD2,p76
AC003070.5,nan
LIAS,LAS
OSTCP1,DC2L|OSTCL
PCDHGA10,PCDH-GAMMA-A10
MTCO1P6,nan
EPHB1,Hek6|EPHT2
NCOA4P3,nan
AC115282.1,nan
INTS9-AS1,ENST00000520055
AL445991.1,nan
AC243829.4,nan
CDY15P,nan
AL096803.3,nan
BRPF3,KIAA1286
GNMT,nan
AC092168.2,nan
MIR18A,MIRN18A|hsa-mir-18|hsa-mir-18a|MIRN18
CFAP299,C4orf22
PLGLB2,PLGP1
ASRGL1,FLJ22316|ALP1|ALP
YJEFN3,hYjeF_N3-19p13.11|FLJ44968
DUX4L9,nan
AC092953.2,nan
GM2AP2,nan
AC008739.2,nan
AC104063.1,nan
TEX44,MGC35154|C2orf57
ST6GALNAC5,ST6GalNAcV|SIAT7E|MGC3184
AL080243.4,nan
CU464055.1,nan
MTND5P19,nan
DNAJC16,KIAA0962
AL357833.1,nan
AL021707.6,nan
LINC01104,nan
CDO1,nan
OR51H2P,nan
PNRC2,nan
LINC02169,nan
AL160291.1,nan
AL627390.2,nan
RPS26P3,bA338L20.1
AP003497.2,nan
SYNE2,SYNE-2|Nesprin-2|NUA|KIAA1011|Nesp2|NUANCE|DKFZP434H2235
LINC01781,nan
CCHCR1,HCR|C6orf18
RNA5SP84,RN5S84
AC020907.6,nan
CASC16,LINC00918|LOC643714
FP236240.1,nan
BRWD1,FLJ11315|C21orf107|DCAF19|WDR9|N143
PFKFB3,nan
SH3BP1,ARHGAP43
PSG2,PSG1|PSBG2|CEA|PSGGB
ZNF175,OTK18
AC004790.2,nan
MAGEE2,HCA3
AC034186.2,nan
RPL18AP14,nan
FUZ,Fy|CPLANE3|FLJ22688
RPL38P3,nan
CCDC116,FLJ36046
MAP3K15,ASK3|bA723P2.3|FLJ16518
HMGB3P17,nan
